degree_e1,degree_e2,quotient_difference_h,g_coefficients,discriminant_coefficients,discriminant_degree,odd_squarefree_degree,classification
12,12,-24,0,"-96,0,672,0,-96",4,4,genus_one_after_square_removal
12,12,-23,0,"-92,0,621,0,-92",4,4,genus_one_after_square_removal
12,12,-22,0,"-88,0,572,0,-88",4,4,genus_one_after_square_removal
12,12,-21,0,"-84,0,525,0,-84",4,4,genus_one_after_square_removal
12,12,-20,0,"-80,0,480,0,-80",4,4,genus_one_after_square_removal
12,12,-19,0,"-76,0,437,0,-76",4,4,genus_one_after_square_removal
12,12,-18,0,"-72,0,396,0,-72",4,4,genus_one_after_square_removal
12,12,-17,0,"-68,0,357,0,-68",4,4,genus_one_after_square_removal
12,12,-16,0,"-64,0,320,0,-64",4,4,genus_one_after_square_removal
12,12,-15,0,"-60,0,285,0,-60",4,4,genus_one_after_square_removal
12,12,-14,0,"-56,0,252,0,-56",4,4,genus_one_after_square_removal
12,12,-13,0,"-52,0,221,0,-52",4,4,genus_one_after_square_removal
12,12,-12,0,"-48,0,192,0,-48",4,4,genus_one_after_square_removal
12,12,-11,0,"-44,0,165,0,-44",4,4,genus_one_after_square_removal
12,12,-10,0,"-40,0,140,0,-40",4,4,genus_one_after_square_removal
12,12,-9,0,"-36,0,117,0,-36",4,4,genus_one_after_square_removal
12,12,-8,0,"-32,0,96,0,-32",4,4,genus_one_after_square_removal
12,12,-7,0,"-28,0,77,0,-28",4,4,genus_one_after_square_removal
12,12,-6,0,"-24,0,60,0,-24",4,4,genus_one_after_square_removal
12,12,-5,0,"-20,0,45,0,-20",4,4,genus_one_after_square_removal
12,12,-4,0,"-16,0,32,0,-16",4,0,constant_nonsquare_times_square
12,12,-3,0,"-12,0,21,0,-12",4,4,genus_one_after_square_removal
12,12,-2,0,"-8,0,12,0,-8",4,4,genus_one_after_square_removal
12,12,-1,0,"-4,0,5,0,-4",4,4,genus_one_after_square_removal
12,12,0,0,,,,h0_impossible_zero_g
12,12,1,0,"4,0,-3,0,4",4,4,genus_one_after_square_removal
12,12,2,0,"8,0,-4,0,8",4,4,genus_one_after_square_removal
12,12,3,0,"12,0,-3,0,12",4,4,genus_one_after_square_removal
12,12,4,0,"16,0,0,0,16",4,4,genus_one_after_square_removal
12,12,5,0,"20,0,5,0,20",4,4,genus_one_after_square_removal
12,12,6,0,"24,0,12,0,24",4,4,genus_one_after_square_removal
12,12,7,0,"28,0,21,0,28",4,4,genus_one_after_square_removal
12,12,8,0,"32,0,32,0,32",4,4,genus_one_after_square_removal
12,12,9,0,"36,0,45,0,36",4,4,genus_one_after_square_removal
12,12,10,0,"40,0,60,0,40",4,4,genus_one_after_square_removal
12,12,11,0,"44,0,77,0,44",4,4,genus_one_after_square_removal
12,12,12,0,"48,0,96,0,48",4,0,constant_nonsquare_times_square
12,12,13,0,"52,0,117,0,52",4,4,genus_one_after_square_removal
12,12,14,0,"56,0,140,0,56",4,4,genus_one_after_square_removal
12,12,15,0,"60,0,165,0,60",4,4,genus_one_after_square_removal
12,12,16,0,"64,0,192,0,64",4,4,genus_one_after_square_removal
12,12,17,0,"68,0,221,0,68",4,4,genus_one_after_square_removal
12,12,18,0,"72,0,252,0,72",4,4,genus_one_after_square_removal
12,12,19,0,"76,0,285,0,76",4,4,genus_one_after_square_removal
12,12,20,0,"80,0,320,0,80",4,4,genus_one_after_square_removal
12,12,21,0,"84,0,357,0,84",4,4,genus_one_after_square_removal
12,12,22,0,"88,0,396,0,88",4,4,genus_one_after_square_removal
12,12,23,0,"92,0,437,0,92",4,4,genus_one_after_square_removal
12,12,24,0,"96,0,480,0,96",4,4,genus_one_after_square_removal
